label,landmark_id
0,22
1,27
2,32
3,50
4,63
5,89
6,104
7,151
8,183
9,189
10,209
11,230
12,260
13,263
14,285
15,297
16,309
17,310
18,354
19,355
20,380
21,385
22,386
23,389
24,394
25,446
26,454
27,456
28,481
29,493
30,501
31,541
32,543
33,553
34,559
35,596
36,606
37,646
38,689
39,714
40,731
41,735
42,761
43,764
44,779
45,809
46,832
47,836
48,847
49,850
50,854
51,891
52,900
53,901
54,962
55,968
56,972
57,1012
58,1029
59,1047
60,1061
61,1068
62,1073
63,1122
64,1131
65,1137
66,1142
67,1174
68,1192
69,1203
70,1206
71,1241
72,1245
73,1289
74,1324
75,1325
76,1333
77,1363
78,1391
79,1393
80,1395
81,1431
82,1461
83,1466
84,1536
85,1582
86,1605
87,1607
88,1613
89,1618
90,1625
91,1635
92,1643
93,1655
94,1693
95,1714
96,1730
97,1739
98,1748
99,1765
100,1771
101,1773
102,1778
103,1822
104,1830
105,1842
106,1847
107,1916
108,1923
109,1929
110,1949
111,1954
112,1987
113,2020
114,2026
115,2049
116,2054
117,2056
118,2079
119,2089
120,2101
121,2125
122,2148
123,2163
124,2183
125,2184
126,2198
127,2201
128,2202
129,2209
130,2230
131,2291
132,2302
133,2312
134,2338
135,2340
136,2342
137,2361
138,2389
139,2392
140,2430
141,2433
142,2437
143,2458
144,2530
145,2542
146,2551
147,2552
148,2573
149,2617
150,2646
151,2663
152,2693
153,2705
154,2735
155,2747
156,2748
157,2752
158,2772
159,2797
160,2854
161,2859
162,2892
163,2896
164,2904
165,2928
166,2937
167,2940
168,2952
169,2972
170,2979
171,2984
172,3027
173,3067
174,3077
175,3079
176,3085
177,3092
178,3130
179,3175
180,3193
181,3298
182,3319
183,3327
184,3331
185,3335
186,3343
187,3355
188,3376
189,3388
190,3390
191,3391
192,3441
193,3443
194,3444
195,3445
196,3458
197,3464
198,3495
199,3533
200,3550
201,3561
202,3583
203,3595
204,3597
205,3662
206,3663
207,3683
208,3743
209,3749
210,3758
211,3765
212,3782
213,3795
214,3809
215,3812
216,3834
217,3881
218,3884
219,3887
220,3922
221,3944
222,3987
